-183.529, 78.301, 1.241,  1.765
-183.524, 78.253, 1.453,  1.798
-183.517, 78.197, 1.655,  1.831
-183.511, 78.136, 1.846,  1.864
-183.503, 78.069, 2.029,  1.897
-183.496, 77.996, 2.190,  1.930
-183.488, 77.920, 2.297,  1.963
-183.480, 77.842, 2.326,  1.996
-183.473, 77.767, 2.266,  2.029
-183.466, 77.696, 2.133,  2.062
-183.459, 77.631, 1.959,  2.095
-183.454, 77.573, 1.762,  2.128
-183.449, 77.522, 1.549,  2.161
-183.444, 77.477, 1.373,  2.194
-183.440, 77.441, 1.065,  2.227
-183.438, 77.415, 0.828,  2.260
-183.435, 77.386, 0.906,  2.293
-183.432, 77.353, 1.003,  2.326
-183.428, 77.316, 1.112,  2.359
-183.424, 77.275, 1.238,  2.392
-183.419, 77.227, 1.433,  2.425
-183.414, 77.173, 1.625,  2.458
-183.408, 77.113, 1.806,  2.491
-183.401, 77.047, 1.982,  2.524
-183.394, 76.975, 2.154,  2.557
-183.387, 76.899, 2.306,  2.590
-183.380, 76.819, 2.407,  2.623
-183.372, 76.738, 2.432,  2.656
-183.365, 76.659, 2.369,  2.689
-183.358, 76.584, 2.236,  2.722
-183.352, 76.516, 2.061,  2.755
-183.346, 76.454, 1.863,  2.788
-183.341, 76.400, 1.649,  2.821
-183.336, 76.352, 1.465,  2.854
-183.332, 76.309, 1.272,  2.887
-183.329, 76.277, 1.026,  2.920
-183.326, 76.242, 1.085,  2.953
-183.323, 76.204, 1.130,  2.986
-183.319, 76.164, 1.216,  3.019
-183.315, 76.120, 1.351,  3.052
-183.310, 76.069, 1.534,  3.085
-183.305, 76.011, 1.718,  3.118
-183.299, 75.948, 1.895,  3.151
-183.293, 75.879, 2.067,  3.184
-183.287, 75.805, 2.237,  3.217
-183.280, 75.726, 2.387,  3.250
-183.273, 75.643, 2.488,  3.283
-183.265, 75.559, 2.513,  3.316
-183.258, 75.478, 2.451,  3.349
-183.251, 75.400, 2.319,  3.382
-183.245, 75.329, 2.144,  3.415
-183.239, 75.265, 1.947,  3.448
-183.234, 75.207, 1.733,  3.481
-183.230, 75.157, 1.547,  3.514
-183.226, 75.109, 1.440,  3.547
-183.222, 75.071, 1.185,  3.580
-183.219, 75.031, 1.237,  3.613
-183.215, 74.989, 1.269,  3.646
-183.211, 74.944, 1.338,  3.679
-183.207, 74.896, 1.453,  3.712
-183.203, 74.842, 1.622,  3.745
-183.198, 74.782, 1.803,  3.778
-183.193, 74.716, 1.977,  3.811
-183.187, 74.645, 2.147,  3.844
-183.180, 74.568, 2.315,  3.877
-183.174, 74.486, 2.465,  3.910
-183.166, 74.400, 2.566,  3.943
-183.159, 74.314, 2.591,  3.976
-183.152, 74.230, 2.531,  4.009
-183.145, 74.150, 2.400,  4.042
-183.139, 74.076, 2.226,  4.075
-183.133, 74.008, 2.030,  4.108
-183.128, 73.948, 1.816,  4.141
-183.124, 73.895, 1.628,  4.174
-183.120, 73.845, 1.517,  4.207
-183.117, 73.797, 1.461,  4.240
-183.113, 73.749, 1.451,  4.273
-183.109, 73.700, 1.473,  4.306
-183.105, 73.649, 1.537,  4.339
-183.101, 73.594, 1.651,  4.372
-183.096, 73.534, 1.807,  4.405
-183.091, 73.469, 1.965,  4.438
-183.085, 73.398, 2.123,  4.471
-183.079, 73.322, 2.281,  4.504
-183.073, 73.241, 2.441,  4.537
-183.066, 73.155, 2.584,  4.570
-183.059, 73.066, 2.680,  4.603
-183.051, 72.976, 2.702,  4.636
-183.044, 72.888, 2.640,  4.669
-183.038, 72.804, 2.508,  4.702
-183.032, 72.727, 2.334,  4.735
-183.027, 72.656, 2.137,  4.768
-183.022, 72.592, 1.922,  4.801
-183.018, 72.535, 1.732,  4.834
-183.014, 72.482, 1.613,  4.867
-183.010, 72.430, 1.564,  4.900
-183.006, 72.379, 1.554,  4.933
-183.002, 72.327, 1.576,  4.966
-182.998, 72.272, 1.641,  4.999
-182.994, 72.214, 1.758,  5.032
-182.989, 72.150, 1.906,  5.065
-182.984, 72.082, 2.057,  5.098
-182.978, 72.008, 2.209,  5.131
-182.972, 71.929, 2.364,  5.164
-182.966, 71.846, 2.521,  5.197
-182.960, 71.757, 2.679,  5.230
-182.953, 71.663, 2.823,  5.263
-182.946, 71.566, 2.921,  5.296
-182.939, 71.468, 2.948,  5.329
-182.932, 71.371, 2.890,  5.362
-182.925, 71.279, 2.763,  5.395
-182.919, 71.193, 2.592,  5.428
-182.913, 71.114, 2.397,  5.461
-182.908, 71.041, 2.183,  5.494
-182.903, 70.976, 1.989,  5.527
-182.899, 70.915, 1.859,  5.560
-182.895, 70.855, 1.815,  5.593
-182.891, 70.795, 1.813,  5.626
-182.887, 70.734, 1.835,  5.659
-182.882, 70.671, 1.901,  5.692
-182.878, 70.604, 2.014,  5.725
-182.873, 70.532, 2.143,  5.758
-182.868, 70.456, 2.279,  5.791
-182.863, 70.376, 2.422,  5.824
-182.857, 70.290, 2.569,  5.857
-182.850, 70.200, 2.720,  5.890
-182.844, 70.105, 2.858,  5.923
-182.837, 70.006, 2.952,  5.956
-182.830, 69.907, 2.974,  5.989
-182.823, 69.810, 2.913,  6.022
-182.817, 69.717, 2.784,  6.055
-182.812, 69.630, 2.612,  6.088
-182.807, 69.550, 2.416,  6.121
-182.802, 69.477, 2.201,  6.154
-182.797, 69.410, 2.006,  6.187
-182.793, 69.349, 1.875,  6.220
-182.790, 69.288, 1.829,  6.253
-182.786, 69.228, 1.829,  6.286
-182.782, 69.166, 1.851,  6.319
-182.777, 69.103, 1.916,  6.352
-182.773, 69.035, 2.029,  6.385
-182.768, 68.963, 2.157,  6.418
-182.763, 68.887, 2.292,  6.451
-182.758, 68.806, 2.434,  6.484
-182.753, 68.720, 2.581,  6.517
-182.747, 68.629, 2.732,  6.550
-182.741, 68.533, 2.886,  6.583
-182.735, 68.432, 3.027,  6.616
-182.729, 68.328, 3.125,  6.649
-182.722, 68.223, 3.152,  6.682
-182.716, 68.120, 3.096,  6.715
-182.709, 68.021, 2.970,  6.748
-182.704, 67.928, 2.802,  6.781
-182.698, 67.841, 2.607,  6.814
-182.694, 67.762, 2.393,  6.847
-182.689, 67.689, 2.196,  6.880
-182.685, 67.621, 2.059,  6.913
-182.682, 67.555, 2.004,  6.946
-182.678, 67.489, 2.005,  6.979
-182.674, 67.421, 2.037,  7.012
-182.670, 67.351, 2.109,  7.045
-182.665, 67.277, 2.209,  7.078
-182.661, 67.200, 2.326,  7.111
-182.656, 67.118, 2.453,  7.144
-182.651, 67.031, 2.590,  7.177
-182.645, 66.940, 2.732,  7.210
-182.640, 66.845, 2.880,  7.243
-182.634, 66.744, 3.031,  7.276
-182.627, 66.638, 3.185,  7.309
-182.621, 66.528, 3.327,  7.342
-182.614, 66.414, 3.426,  7.375
-182.607, 66.298, 3.457,  7.408
-182.600, 66.185, 3.405,  7.441
-182.593, 66.076, 3.285,  7.474
-182.587, 65.972, 3.119,  7.507
-182.581, 65.875, 2.927,  7.540
-182.576, 65.785, 2.714,  7.573
